year,month,day,hour,PAR
2012,2,12,23,0
2012,2,13,0,0
2012,2,13,1,0
2012,2,13,2,0
2012,2,13,3,0
2012,2,13,4,0
2012,2,13,5,0
2012,2,13,6,2.635416099
2012,2,13,7,23.94887192
2012,2,13,8,274.2798283
2012,2,13,9,209.4361752
2012,2,13,10,389.4361831
2012,2,13,11,540.407652
2012,2,13,12,509.2579136
2012,2,13,13,277.1628773
2012,2,13,14,255.9034852
2012,2,13,15,279.8628332
2012,2,13,16,92.85057446
2012,2,13,17,15.02332149
2012,2,13,18,0.120371199
2012,2,13,19,0
2012,2,13,20,0
2012,2,13,21,0
2012,2,13,22,0
2012,2,13,23,0
2012,2,14,0,0
2012,2,14,1,0
2012,2,14,2,0
2012,2,14,3,0
2012,2,14,4,0
2012,2,14,5,0
2012,2,14,6,6.63210942
2012,2,14,7,48.67975478
2012,2,14,8,172.1943355
2012,2,14,9,342.4962312
2012,2,14,10,313.9433928
2012,2,14,11,335.9844936
2012,2,14,12,427.5084658
2012,2,14,13,193.0426067
