"uptake","detritus1c","detritus1n","detritus2c","detritus2n","detritus3c","detritus3n","year","day","month"
9.5e-05,173.0491462,4.1051692,353.6221479,8.38882259,225.716294,5.35456875,2008,29,9
9.85e-05,173.0491462,4.10517824,353.6221479,8.388843366,225.716294,5.35458005,2008,30,9
0.00010251,56.71955958,1.34553979,115.9052006,2.74958171,73.9820455,1.7550523,2008,1,10
0.0001055,1387.182005,38.8891068,2234.01038,45.02429902,1567.9211,32.098147,2008,2,10
0.00010985,2018.301699,56.7269609,3242.870338,65.32874499,2270.15678,46.4602925,2008,3,10
0.00011092,1944.636874,54.6558074,3124.58504,62.94716244,2187.32276,44.7658002,2008,4,10
0.00010805,1870.971793,52.5846457,3006.300103,60.56558806,2104.48917,43.0713276,2008,5,10
0.00010308,1797.306493,50.5134978,2888.014164,58.18400279,2021.65551,41.3768548,2008,6,10
0.00010489,1723.641333,48.4423583,2769.729134,55.80244486,1938.8219,39.6823794,2008,7,10
0.00010156,1649.976174,46.3712077,2651.443559,53.42088181,1855.98824,37.9879021,2008,8,10
0.00010809,1576.311185,44.3000599,2533.15816,51.03931036,1773.15409,36.2934367,2008,9,10
0.00011487,1502.645914,42.2289175,2414.873936,48.65774154,1690.32068,34.5989606,2008,10,10
