year,month,day,hour,temp
2012,2,2,23,6.78803492
2012,2,3,0,7.71450331
2012,2,3,1,7.67898625
2012,2,3,2,7.60907761
2012,2,3,3,7.50985705
2012,2,3,4,7.4234913
2012,2,3,5,7.31261249
2012,2,3,6,7.23266877
2012,2,3,7,7.24365881
2012,2,3,8,7.39204745
2012,2,3,9,7.82245774
2012,2,3,10,8.4057703
2012,2,3,11,8.91406696
2012,2,3,12,9.43729483
2012,2,3,13,9.65417495
2012,2,3,14,9.5644108
2012,2,3,15,9.24782017
2012,2,3,16,8.80404816
2012,2,3,17,8.41805616
2012,2,3,18,8.13505987
2012,2,3,19,7.95138039
2012,2,3,20,7.85741023
2012,2,3,21,7.81398419
2012,2,3,22,7.75346598
2012,2,3,23,7.74917896
2012,2,4,0,7.42336396
2012,2,4,1,7.39076544
2012,2,4,2,7.31913721
2012,2,4,3,7.21679594
2012,2,4,4,7.14134963
2012,2,4,5,7.04385417
2012,2,4,6,6.95688856
2012,2,4,7,6.97337433
2012,2,4,8,7.11947254
2012,2,4,9,7.52356619
2012,2,4,10,8.07473787
2012,2,4,11,8.56878314
2012,2,4,12,9.10031073
2012,2,4,13,9.29141645
2012,2,4,14,9.1638715
2012,2,4,15,8.88593525
2012,2,4,16,8.48996602
2012,2,4,17,8.10000397
2012,2,4,18,7.83009563
2012,2,4,19,7.63803506
2012,2,4,20,7.53618054
2012,2,4,21,7.55763248
2012,2,4,22,7.47823894
2012,2,4,23,7.4216277
2012,2,5,0,6.59303233
2012,2,5,1,6.56225175
2012,2,5,2,6.50481711
2012,2,5,3,6.40680507
2012,2,5,4,6.33402816
2012,2,5,5,6.26723042
2012,2,5,6,6.18417596
2012,2,5,7,6.18951993
2012,2,5,8,6.32232153
2012,2,5,9,6.68849521
2012,2,5,10,7.17722177
2012,2,5,11,7.60829316
2012,2,5,12,8.08883308
2012,2,5,13,8.23230238
2012,2,5,14,8.11990659
2012,2,5,15,7.89928425
2012,2,5,16,7.51903875
2012,2,5,17,7.18156484
2012,2,5,18,6.96862368
2012,2,5,19,6.76567607
2012,2,5,20,6.70305042
2012,2,5,21,6.70839176
2012,2,5,22,6.63925715
2012,2,5,23,6.58891311
2012,2,6,0,6.41977181
2012,2,6,1,6.38985732
2012,2,6,2,6.33159473
2012,2,6,3,6.23820325
2012,2,6,4,6.17911439
2012,2,6,5,6.10135656
2012,2,6,6,6.02236456
2012,2,6,7,6.03496138
2012,2,6,8,6.16510563
2012,2,6,9,6.50899746
2012,2,6,10,7.00813253
2012,2,6,11,7.44118923
2012,2,6,12,7.86473071
2012,2,6,13,8.03875784
2012,2,6,14,7.9273407
2012,2,6,15,7.68302246
2012,2,6,16,7.33985214
2012,2,6,17,7.00957133
2012,2,6,18,6.76604904
